0.21 0.2 0.21 0.19 0.16 1
0.19 0.2 0.16 0.14 0.13 1
0.25 0.16 0.16 0.16 0.13 1
0.11 0.09 0.1 0.1 0.14 1
0.19 0.13 0.15 0.11 0.11 1
0.18 0.16 0.16 0.17 0.1 1
0.21 0.18 0.15 0.18 0.08 1
0.16 0.12 0.14 0.11 0.18 1
0.2 0.14 0.11 0.13 0.11 1
0.28 0.28 0.25 0.29 0.29 2
0.22 0.18 0.16 0.21 0.25 2
0.3 0.27 0.26 0.26 0.29 2
0.24 0.23 0.24 0.23 0.23 2
0.26 0.22 0.23 0.19 0.17 2
0.27 0.22 0.2 0.22 0.24 2
0.32 0.25 0.24 0.21 0.23 2
0.2 0.19 0.21 0.27 0.28 2
0.21 0.22 0.2 0.19 0.2 2
0.33 0.28 0.25 0.28 0.27 2
0.23 0.18 0.19 0.24 0.28 2
0.17 0.12 0.15 0.14 0.12 2
0.2 0.17 0.14 0.18 0.19 2
0.22 0.23 0.19 0.24 0.22 2
0.24 0.22 0.22 0.22 0.21 2
0.14 0.12 0.09 0.17 0.19 3
0.25 0.18 0.15 0.16 0.26 3
0.22 0.21 0.14 0.16 0.19 3
0.17 0.12 0.1 0.12 0.15 3
0.17 0.15 0.12 0.12 0.14 3
0.14 0.12 0.11 0.12 0.2 3
0.17 0.12 0.12 0.09 0.14 3
0.2 0.14 0.16 0.12 0.15 3
0.25 0.24 0.2 0.13 0.17 3
0.15 0.07 0.05 0.13 0.15 3
0.19 0.12 0.14 0.15 0.18 3
0.23 0.17 0.2 0.19 0.27 3
0.2 0.19 0.18 0.16 0.21 3
0.2 0.19 0.19 0.16 0.24 3
0.24 0.16 0.2 0.2 0.21 3
0.15 0.09 0.12 0.12 0.2 3
0.15 0.16 0.12 0.09 0.17 3
0.18 0.18 0.17 0.16 0.21 3
0.23 0.22 0.2 0.15 0.21 3
0.22 0.18 0.14 0.12 0.18 3
0.15 0.15 0.13 0.17 0.16 3
0.22 0.14 0.16 0.17 0.24 3
0.22 0.14 0.14 0.16 0.15 3
